目标,延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
162.159.224.96,25.98,0.00,6.28,US,美国·US,Cloudflare,
104.18.208.64,26.24,0.00,11.13,US,美国·US,Cloudflare,
104.26.13.8,27.40,0.00,10.99,US,美国·US,Cloudflare,
104.24.1.234,27.47,0.00,8.39,US,美国·US,Cloudflare,
104.18.14.103,28.15,0.00,8.80,US,美国·US,Cloudflare,
172.67.136.128,28.26,0.00,7.67,CA,加拿大·CA,Cloudflare,
103.31.4.241,28.42,0.00,7.48,US,美国·US,Cloudflare,
104.17.147.165,29.07,0.00,9.23,US,美国·US,Cloudflare,
104.24.207.174,29.16,0.00,9.28,US,美国·US,Cloudflare,
198.41.218.54,29.18,0.00,7.75,US,美国·US,Cloudflare,
104.24.198.83,29.67,0.00,8.74,US,美国·US,Cloudflare,
104.16.8.155,29.75,0.00,6.97,US,美国·US,Cloudflare,
162.159.134.220,30.06,0.00,9.02,CA,加拿大·CA,Cloudflare,
173.245.49.226,30.23,0.00,8.64,CA,加拿大·CA,Cloudflare,
104.25.12.223,30.38,0.00,9.94,US,美国·US,Cloudflare,
104.19.3.53,30.42,0.00,10.20,US,美国·US,Cloudflare,
104.27.34.66,30.59,0.00,8.09,US,美国·US,Cloudflare,
104.17.9.127,30.65,0.00,9.05,US,美国·US,Cloudflare,
103.31.4.211,30.69,0.00,8.11,US,美国·US,Cloudflare,
104.17.10.223,30.76,0.00,8.95,US,美国·US,Cloudflare,
198.41.200.82,30.81,0.00,7.42,CA,加拿大·CA,Cloudflare,
104.19.10.169,30.92,0.00,9.16,US,美国·US,Cloudflare,
103.31.4.88,31.20,0.00,11.20,US,美国·US,Cloudflare,
104.17.4.46,31.23,0.00,8.10,US,美国·US,Cloudflare,
198.41.196.213,31.42,0.00,7.54,CA,加拿大·CA,Cloudflare,
103.31.4.78,31.46,0.00,8.19,US,美国·US,Cloudflare,
104.18.9.174,31.61,0.00,10.57,US,美国·US,Cloudflare,
103.31.4.53,31.87,0.00,7.11,US,美国·US,Cloudflare,
104.16.5.150,31.89,0.00,8.44,US,美国·US,Cloudflare,
198.41.202.9,31.97,0.00,8.89,CA,加拿大·CA,Cloudflare,
162.159.2.45,32.06,0.00,7.48,CA,加拿大·CA,Cloudflare,
104.24.206.213,32.06,0.00,8.29,US,美国·US,Cloudflare,
103.31.4.140,32.14,0.00,10.04,US,美国·US,Cloudflare,
104.16.1.63,32.16,0.00,7.53,US,美国·US,Cloudflare,
104.18.8.76,32.27,0.00,7.55,US,美国·US,Cloudflare,
104.17.2.38,32.46,0.00,7.97,US,美国·US,Cloudflare,
198.41.204.255,32.48,0.00,6.07,CA,加拿大·CA,Cloudflare,
104.17.9.254,32.50,0.00,7.87,US,美国·US,Cloudflare,
198.41.218.153,32.58,0.00,9.10,US,美国·US,Cloudflare,
198.41.205.8,32.59,0.00,6.14,CA,加拿大·CA,Cloudflare,
162.159.2.127,32.62,0.00,8.19,CA,加拿大·CA,Cloudflare,
104.17.2.145,32.76,0.00,7.25,US,美国·US,Cloudflare,
104.19.15.90,32.78,0.00,9.55,US,美国·US,Cloudflare,
104.16.3.14,32.82,0.00,7.48,US,美国·US,Cloudflare,
162.159.244.159,32.87,0.00,8.11,US,美国·US,Cloudflare,
172.66.215.36,32.87,0.00,9.13,CA,加拿大·CA,Cloudflare,
198.41.218.38,32.89,0.00,6.84,US,美国·US,Cloudflare,
198.41.201.239,32.89,0.00,7.41,CA,加拿大·CA,Cloudflare,
190.93.244.21,32.91,0.00,8.45,CR,CR·CR,Cloudflare,
104.20.60.157,33.00,0.00,7.26,US,美国·US,Cloudflare,
173.245.58.13,33.06,0.00,10.24,CA,加拿大·CA,Cloudflare,
162.159.62.34,33.16,0.00,6.94,CA,加拿大·CA,Cloudflare,
104.25.15.132,33.19,0.00,5.80,US,美国·US,Cloudflare,
162.159.234.211,33.23,0.00,6.23,US,美国·US,Cloudflare,
